Draft,Owner,Fact #,Category,Fact
Snake,Tyler,10,Lineup management,"Converted 88.7% of the optimal lineup’s points, ranking 3rd in the league; the worst start/sit miss was 42.7 points in Week 5."
Snake,Tyler,11,Schedule luck,"The actual record finished about 0.9 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Tyler,12,Roster activity,Used 23 different players (11th-most) and made 8 moves (10th-most).
Snake,Tyson,1,Weekly high,"Scored 163.50 in Week 9, the team’s best output across all 18 weeks."
Snake,Tyson,2,Weekly low,Bottomed out at 67.62 points in Week 12. It was the 5th-lowest team-week in the league.
Snake,Tyson,3,Biggest win,The biggest win was a 33.38-point beating of Dallin in Week 9 (163.50–130.12).
Snake,Tyson,4,Worst loss,The worst loss was by 55.56 points to Tyler in Week 8 (97.12–152.68).
Snake,Tyson,5,Season streak,"Lost 4 straight from Week 5 through Week 8, the team’s longest streak of the season."
Snake,Tyson,6,Rivalry,Has lost 3 straight head-to-head meetings against Reyes; the latest was in Week 15 of 2025.
Snake,Tyson,7,Career context,The 2025 regular-season win total ranked as the worst across 2 recorded seasons in this draft format.
Snake,Tyson,8,Lineup slot,"The WR3 slot produced 80.3 starter points, ranking 10th among the 12 teams in the league."
Snake,Tyson,9,Draft outcome,Mark Andrews cost pick #80 in Round 7 but supplied 44.2 starter points across 5 starts and was last observed in Week 6.
Snake,Tyson,10,Lineup management,"Converted 87.1% of the optimal lineup’s points, ranking 8th in the league; the worst start/sit miss was 30.9 points in Week 5."
Snake,Tyson,11,Schedule luck,"The actual record finished about 0.2 fewer wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Tyson,12,Roster activity,Used 25 different players (8th-most) and made 9 moves (9th-most) and completed 1 trade.
Snake,Woody,1,Weekly high,"Scored 153.66 in Week 3, the team’s best output across all 18 weeks."
Snake,Woody,2,Weekly low,Bottomed out at 85.40 points in Week 2.
Snake,Woody,3,Biggest win,The biggest win was a 49.34-point beating of Carson in Week 7 (135.38–86.04).
Snake,Woody,4,Worst loss,The worst loss was by 48.98 points to Reyes in Week 1 (104.78–153.76).
Snake,Woody,5,Season streak,"Won 5 straight from Week 6 through Week 10, the team’s longest streak of the season."
Snake,Woody,6,Rivalry,Has lost 7 straight head-to-head meetings against McCade; the latest was in Week 5 of 2025.
Snake,Woody,7,Career context,The 2025 regular-season win total ranked as the best across 9 recorded seasons in this draft format.
Snake,Woody,8,Lineup slot,"The WR2 slot produced 201.3 starter points, ranking 9th among the 12 teams in the league."
Snake,Woody,9,Draft outcome,Chris Godwin cost pick #84 in Round 7 but supplied 5.6 starter points across 1 starts and was last observed in Week 5.
Snake,Woody,10,Lineup management,"Converted 87.3% of the optimal lineup’s points, ranking 7th in the league; the worst start/sit miss was 58.3 points in Week 16."
Snake,Woody,11,Schedule luck,"The actual record finished about 1.2 more wins than all-play performance projected, based on how the team scored against the full league each week."
Snake,Woody,12,Roster activity,Used 31 different players (4th-most) and made 15 moves (4th-most) and completed 1 trade.
