auction_rank,player,team,position,auction_value,projected_points,starter_vorp,waiver_vorp,starter_baseline_points,waiver_baseline_points,model_position_rank,fantasypros_roster_rank,fantasypros_position_rank,composite_value_score,historical_slot_price,historical_position_budget,projected_starter_pool,projected_starter_role,fantasypros_injury_status,historical_seasons,model_note
100,Philadelphia Eagles,PHI,DST,4,166.33,14.300000000000011,38.77000000000001,152.03,127.56,8,154.0,10.0,0.6170424388011897,3.8479865536012055,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
101,Detroit Lions,DET,DST,4,162.81,10.780000000000001,35.25,152.03,127.56,9,152.0,8.0,0.6039650537634409,3.471129735755798,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
102,Bo Nix,DEN,QB,4,340.96,-5.980000000000018,53.089999999999975,346.94,287.87,15,62.0,15.0,0.40190460417356727,3.3595810846656273,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
103,Justin Herbert,LAC,QB,4,340.19,-6.75,52.31999999999999,346.94,287.87,16,63.0,16.0,0.3743540907585292,2.916631280853736,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
104,George Kittle,SF,TE,4,175.44,8.289999999999992,26.77000000000001,167.15,148.67,11,103.0,11.0,0.36261430359033586,3.1790270263743694,226,True,Dedicated TE,PUP,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
105,Rico Dowdle,PIT,RB,4,179.81,-17.639999999999986,71.39,197.45,108.42,30,72.0,30.0,0.3415116591240316,3.240236016859748,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
106,Chuba Hubbard,CAR,RB,4,176.86,-20.589999999999975,68.44000000000001,197.45,108.42,31,73.0,31.0,0.3244860780854491,3.0526553504572096,799,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
107,J.K. Dobbins,DEN,RB,4,176.3,-21.149999999999977,67.88000000000001,197.45,108.42,32,75.0,32.0,0.3111269847357521,3.0195528799155853,799,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
108,Brian Thomas Jr.,JAC,WR,4,181.39,0.0,29.869999999999976,181.39,151.52,36,106.0,36.0,0.26555840347082094,4.561473545166866,910,True,WR/TE Flex,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
109,Wan'Dale Robinson,TEN,WR,4,181.24,-0.14999999999997726,29.72,181.39,151.52,37,107.0,37.0,0.2541200850738943,4.16517905030781,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
110,Jakobi Meyers,JAC,WR,4,178.94,-2.4499999999999886,27.419999999999987,181.39,151.52,38,112.0,38.0,0.23799179558027786,3.8814014396431387,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
111,Cairo Santos,CHI,K,3,165.31,6.3300000000000125,23.900000000000006,158.98,141.41,5,176.0,8.0,0.6613401089689857,3.1592857181095892,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
112,Jake Bates,DET,K,3,163.28,4.300000000000011,21.870000000000005,158.98,141.41,6,174.0,6.0,0.6393940346465492,2.9074232260151804,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
113,Blake Grupe,IND,K,3,161.53,2.5500000000000114,20.120000000000005,158.98,141.41,7,175.0,7.0,0.5880755797708856,2.655560733920771,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
114,Baltimore Ravens,BAL,DST,3,160.9,8.870000000000005,33.34,152.03,127.56,10,155.0,11.0,0.5476444177533746,3.0366166924378564,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
115,Buffalo Bills,BUF,DST,3,152.6,0.5699999999999932,25.039999999999992,152.03,127.56,11,153.0,9.0,0.5083213223518646,2.861675009218493,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
116,Kenny Gainwell,TB,RB,3,168.31,-29.139999999999986,59.89,197.45,108.42,33,81.0,33.0,0.28636956354989646,2.7326648018881707,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
117,Baker Mayfield,TB,QB,3,321.1,-25.839999999999975,33.23000000000002,346.94,287.87,17,96.0,17.0,0.2861212321960914,2.237147911660065,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
118,Mark Andrews,BAL,TE,3,167.15,0.0,18.480000000000018,167.15,148.67,12,119.0,13.0,0.2834737061635704,2.301856707054319,226,True,Dedicated TE,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
119,RJ Harvey,DEN,RB,3,167.59,-29.859999999999985,59.17,197.45,108.42,34,82.0,34.0,0.2727650149574289,2.115042957337984,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
120,Carnell Tate,TEN,WR,3,178.46,-2.9299999999999784,26.939999999999998,181.39,151.52,39,113.0,39.0,0.22583362115455693,3.3671416672310146,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
121,Michael Wilson,ARI,WR,3,176.81,-4.579999999999984,25.289999999999992,181.39,151.52,40,115.0,41.0,0.206493600269845,2.8065370314394125,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
122,Chase McLaughlin,TB,K,2,162.27,3.2900000000000205,20.860000000000014,158.98,141.41,8,177.0,9.0,0.5867878597373568,2.4026480368463536,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
123,Will Reichard,MIN,K,2,164.16,5.180000000000007,22.75,158.98,141.41,9,182.0,14.0,0.5765451243364067,2.1494352812062187,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
124,Harrison Mevis,LAR,K,2,157.96,-1.0199999999999818,16.55000000000001,158.98,141.41,10,173.0,5.0,0.526635931824532,1.9042007494300837,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
125,Eddy Pineiro,SF,K,2,159.19,0.21000000000000796,17.78,158.98,141.41,11,178.0,10.0,0.5119673791561888,1.9042007494300837,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
126,Cam Little,JAC,K,2,159.35,0.37000000000000455,17.939999999999998,158.98,141.41,12,181.0,13.0,0.4963736378876781,1.6386846590800301,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
127,Cleveland Browns,CLE,DST,2,151.62,-0.4099999999999966,24.060000000000002,152.03,127.56,12,157.0,13.0,0.4321070693205216,2.0178729571570964,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
128,New England Patriots,NE,DST,2,152.03,0.0,24.47,152.03,127.56,13,162.0,18.0,0.3968582704186685,1.726303485124824,82,True,DST,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
129,New Orleans Saints,NO,DST,2,148.8,-3.2299999999999898,21.24000000000001,152.03,127.56,14,159.0,15.0,0.36662319835277973,1.697146537921597,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
130,Atlanta Falcons,ATL,DST,2,143.52,-8.509999999999991,15.960000000000008,152.03,127.56,15,156.0,12.0,0.3251321207961565,1.697146537921597,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
131,Chicago Bears,CHI,DST,2,144.1,-7.930000000000007,16.539999999999992,152.03,127.56,16,158.0,14.0,0.3220667467398764,1.697146537921597,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
132,Kansas City Chiefs,KC,DST,2,149.75,-2.280000000000001,22.189999999999998,152.03,127.56,17,168.0,24.0,0.2926727293525509,1.5228599034411983,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
133,Jake Ferguson,DAL,TE,2,167.14,-0.010000000000019327,18.47,167.15,148.67,13,118.0,12.0,0.2778796483460069,2.0061144761101453,226,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
134,Tyler Shough,NO,QB,2,319.55,-27.389999999999986,31.680000000000007,346.94,287.87,18,97.0,18.0,0.25598708181517055,1.6774857611471783,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
135,Rachaad White,WAS,RB,2,163.93,-33.51999999999998,55.510000000000005,197.45,108.42,35,86.0,35.0,0.25465022627905193,1.5186053718187864,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
136,Aaron Jones Sr.,MIN,RB,2,161.38,-36.06999999999999,52.959999999999994,197.45,108.42,36,87.0,36.0,0.23823828334739583,1.353093019110663,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
137,Isaiah Likely,NYG,TE,2,164.72,-2.430000000000007,16.05000000000001,167.15,148.67,14,122.0,14.0,0.22133987871787467,1.8583930866345582,226,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
138,Jonathon Brooks,CAR,RB,2,157.58,-39.869999999999976,49.16000000000001,197.45,108.42,37,90.0,37.0,0.2199087213315947,1.353093019110663,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
139,Kyler Murray,MIN,QB,2,313.39,-33.55000000000001,25.519999999999982,346.94,287.87,19,104.0,19.0,0.21058297449486574,1.3829267345614484,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
140,Kyle Monangai,CHI,RB,2,156.33,-41.119999999999976,47.91000000000001,197.45,108.42,38,91.0,38.0,0.20549110224744957,1.353093019110663,799,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
141,Jayden Reed,GB,WR,2,176.16,-5.22999999999999,24.639999999999986,181.39,151.52,41,116.0,42.0,0.19396459092019977,2.419266733760786,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
142,Chris Godwin Jr.,TB,WR,2,175.82,-5.569999999999993,24.299999999999983,181.39,151.52,42,117.0,43.0,0.18211180996124005,2.0674315526042166,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
143,Jacory Croskey-Merritt,WAS,RB,2,145.67,-51.78,37.249999999999986,197.45,108.42,39,101.0,39.0,0.17663764669785992,1.353093019110663,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
144,Dalton Kincaid,BUF,TE,2,160.38,-6.77000000000001,11.710000000000008,167.15,148.67,15,127.0,15.0,0.17129656367311571,1.4342993704860376,226,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
145,Quentin Johnston,LAC,WR,2,169.92,-11.469999999999999,18.399999999999977,181.39,151.52,43,123.0,44.0,0.15813054560805004,1.6959530617795435,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
146,Josh Downs,IND,WR,2,168.68,-12.70999999999998,17.159999999999997,181.39,151.52,44,114.0,40.0,0.15449970611938219,1.647441341563765,910,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
147,Nick Folk,ATL,K,1,158.98,0.0,17.569999999999993,158.98,141.41,13,184.0,16.0,0.4334758312377758,1.3858719815275182,52,True,K,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
148,Harrison Butker,KC,K,1,152.47,-6.509999999999991,11.060000000000002,158.98,141.41,14,180.0,12.0,0.37315451243364056,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
149,Evan McPherson,CIN,K,1,154.36,-4.619999999999976,12.950000000000017,158.98,141.41,15,183.0,15.0,0.3691617770326907,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
150,Charlie Smyth,NO,K,1,157.03,-1.9499999999999886,15.620000000000005,158.98,141.41,16,188.0,20.0,0.3495662196144174,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
151,Trey Smack,GB,K,1,152.38,-6.599999999999994,10.969999999999999,158.98,141.41,17,186.0,18.0,0.29546765856384455,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
152,Tyler Loop,BAL,K,1,147.3,-11.679999999999978,5.890000000000015,158.98,141.41,18,179.0,11.0,0.29056894383906123,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
153,Wil Lutz,DEN,K,1,151.51,-7.469999999999999,10.099999999999994,158.98,141.41,19,185.0,17.0,0.2854669600447051,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
154,Green Bay Packers,GB,DST,1,145.15,-6.8799999999999955,17.590000000000003,152.03,127.56,18,165.0,21.0,0.2694986845115534,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
155,Jacksonville Jaguars,JAX,DST,1,141.22,-10.810000000000002,13.659999999999997,152.03,127.56,19,160.0,16.0,0.24167009837565775,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
156,Tampa Bay Buccaneers,TB,DST,1,141.74,-10.289999999999992,14.180000000000007,152.03,127.56,20,163.0,19.0,0.22785861358956763,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
157,Cincinnati Bengals,CIN,DST,1,139.47,-12.560000000000002,11.909999999999997,152.03,127.56,21,161.0,17.0,0.20706131320064058,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
158,Tyler Bass,BUF,K,1,146.2,-12.780000000000001,4.789999999999992,158.98,141.41,20,187.0,19.0,0.18527591506007252,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
159,Chris Boswell,PIT,K,1,149.05,-9.929999999999978,7.640000000000015,158.98,141.41,21,192.0,24.0,0.18147073204805814,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
160,Jordan Love,GB,QB,1,310.74,-36.19999999999999,22.870000000000005,346.94,287.87,20,108.0,20.0,0.17680523352103342,1.0883677079757188,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
161,Jordan Mason,MIN,RB,1,144.88,-52.56999999999999,36.459999999999994,197.45,108.42,40,105.0,40.0,0.1629257114366802,1.1434440390137075,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
162,Daniel Jones,IND,QB,1,310.12,-36.81999999999999,22.25,346.94,287.87,21,109.0,21.0,0.14975157336866507,1.0,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
163,Jordan Addison,MIN,WR,1,169.15,-12.23999999999998,17.629999999999995,181.39,151.52,45,124.0,45.0,0.14533977042975244,1.106096076673609,910,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
164,Drew Stevens,WAS,K,1,145.11,-13.869999999999976,3.700000000000017,158.98,141.41,22,189.0,21.0,0.1425499441184689,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
165,Blake Corum,LAR,RB,1,138.29,-59.16,29.86999999999999,197.45,108.42,41,110.0,41.0,0.1403160236250671,1.0,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
166,Deebo Samuel Sr.,SF,WR,1,168.89,-12.5,17.369999999999976,181.39,151.52,46,125.0,46.0,0.13366150002322763,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
167,Tyjae Spears,TEN,RB,1,138.27,-59.17999999999998,29.85000000000001,197.45,108.42,42,111.0,42.0,0.1277853417197208,1.0,799,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
168,Sam Darnold,SEA,QB,1,308.02,-38.920000000000016,20.149999999999977,346.94,287.87,22,120.0,22.0,0.11779562769128837,1.0,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
169,Juwan Johnson,NO,TE,1,154.94,-12.210000000000008,6.27000000000001,167.15,148.67,16,136.0,16.0,0.11701799980748863,1.0,226,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
170,Xavier Worthy,KC,WR,1,167.61,-13.779999999999973,16.090000000000003,181.39,151.52,47,126.0,47.0,0.11327673859167561,1.0,910,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
171,Indianapolis Colts,IND,DST,1,135.29,-16.74000000000001,7.72999999999999,152.03,127.56,22,167.0,23.0,0.1070267101349805,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
172,Alvin Kamara,NO,RB,1,131.79,-65.66,23.36999999999999,197.45,108.42,43,121.0,43.0,0.10534440438751244,1.0,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
173,Stefon Diggs,WAS,WR,1,166.62,-14.769999999999982,15.099999999999994,181.39,151.52,48,131.0,48.0,0.10000605939418176,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
174,Matthew Golden,GB,WR,1,165.19,-16.19999999999999,13.669999999999987,181.39,151.52,49,132.0,49.0,0.08577557215829558,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
175,Woody Marks,HOU,RB,1,124.82,-72.63,16.39999999999999,197.45,108.42,44,128.0,44.0,0.08215176037431923,1.0,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
176,Jake Elliott,PHI,K,1,139.49,-19.48999999999998,-1.9199999999999875,158.98,141.41,23,190.0,22.0,0.07986343950824255,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
177,Khalil Shakir,BUF,WR,1,164.68,-16.70999999999998,13.159999999999997,181.39,151.52,50,133.0,50.0,0.07355195627541157,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
178,Washington Commanders,WAS,DST,1,129.54,-22.49000000000001,1.9799999999999898,152.03,127.56,23,166.0,22.0,0.07128832075040031,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
179,Brenton Strange,JAC,TE,1,151.52,-15.629999999999995,2.8500000000000227,167.15,148.67,17,149.0,17.0,0.07051689286745595,1.0,226,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
180,Zach Charbonnet,SEA,RB,1,123.0,-74.44999999999999,14.579999999999998,197.45,108.42,45,129.0,45.0,0.06685970698780393,1.0,799,False,,PUP,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
181,Tennessee Titans,TEN,DST,1,127.56,-24.47,0.0,152.03,127.56,24,164.0,20.0,0.06666666666666667,1.0,82,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
182,C.J. Stroud,HOU,QB,1,296.22,-50.71999999999997,8.350000000000023,346.94,287.87,23,143.0,23.0,0.05370983769460087,1.0,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
183,KC Concepcion,CLE,WR,1,159.86,-21.529999999999973,8.340000000000003,181.39,151.52,51,135.0,51.0,0.051926584380093684,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
184,Tyrone Tracy Jr.,NYG,RB,1,119.66,-77.78999999999999,11.239999999999995,197.45,108.42,46,130.0,46.0,0.04923582879496815,1.0,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
185,Jalen Coker,CAR,WR,1,157.85,-23.539999999999992,6.329999999999984,181.39,151.52,52,146.0,52.0,0.036430895639053974,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
186,Andy Borregales,NE,K,1,136.59,-22.389999999999986,-4.819999999999993,158.98,141.41,24,191.0,23.0,0.035416666666666666,1.0,52,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
187,Hunter Henry,NE,TE,1,150.52,-16.629999999999995,1.8500000000000227,167.15,148.67,18,150.0,18.0,0.033333333333333326,1.0,226,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
188,Isiah Pacheco,DET,RB,1,115.92,-81.52999999999999,7.5,197.45,108.42,47,134.0,47.0,0.030998312495205946,1.0,799,False,,DTD,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
189,Malik Willis,MIA,QB,1,295.1,-51.839999999999975,7.230000000000018,346.94,287.87,24,144.0,24.0,0.024999999999999998,1.0,331,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
190,Rashid Shaheed,SEA,WR,1,157.32,-24.069999999999993,5.799999999999983,181.39,151.52,53,147.0,53.0,0.024163652118061204,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
191,Justice Hill,BAL,RB,1,112.01,-85.43999999999998,3.5900000000000034,197.45,108.42,48,145.0,48.0,0.012499999999999999,1.0,799,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
192,Romeo Doubs,NE,WR,1,156.43,-24.95999999999998,4.909999999999997,181.39,151.52,54,148.0,54.0,0.01111111111111111,1.0,910,False,,,2023-2025,"70% historical position-rank price curve; 30% projection/market/VORP curve; $1 minimum; position budgets normalized to $2,400."
